Team 1,Team 2,Team 1 Wins,Team 2 Wins,Team 1 First Leg Wins,Team 2 First Leg Wins,1st Leg Draws,Team 1 Second Leg Wins,Team 2 Second Leg Wins,2nd Leg Draws,Team 1 Elo,Team 2 Elo,Team 1 Win %,Team 2 Win %,1st Leg Win % T1,1st Leg Win % T2,1st Leg Draw %,2nd Leg Win % T1,2nd Leg Win % T2,2nd Leg Draw %
Sabah,Celje,3594,6406,4519,2917,2564,1277,6510,2213,,,35.9,64.1,45.2,29.2,25.6,12.8,65.1,22.1
Legia Warszawa,Aktobe,8366,1634,7753,680,1567,4883,2527,2590,,,83.7,16.3,77.5,6.8,15.7,48.8,25.3,25.9
Levski Sofia,Hapoel Beer Sheva,3041,6959,4049,3227,2724,1023,6914,2063,,,30.4,69.6,40.5,32.3,27.2,10.2,69.1,20.6
AEK Larnaca,Partizan,6223,3777,6389,1446,2165,2705,4616,2679,,,62.2,37.8,63.9,14.5,21.6,27.0,46.2,26.8
Paks,CFR Cluj,3348,6652,4278,3048,2674,1154,6748,2098,,,33.5,66.5,42.8,30.5,26.7,11.5,67.5,21.0
Brann,Red Bull Salzburg,3929,6071,4713,2671,2616,1495,6241,2264,,,39.3,60.7,47.1,26.7,26.2,15.0,62.4,22.6
Viktoria Plzen,Servette,7426,2574,7329,799,1872,3588,3727,2685,,,74.3,25.7,73.3,8.0,18.7,35.9,37.3,26.8
Rangers,Panathinaikos,5887,4113,6204,1574,2222,2564,4832,2604,,,58.9,41.1,62.0,15.7,22.2,25.6,48.3,26.0
Midtjylland,Hibernian,7610,2390,7353,836,1811,3873,3384,2743,,,76.1,23.9,73.5,8.4,18.1,38.7,33.8,27.4
Dundee United,Una Strassen,8183,1817,7703,691,1606,4582,2768,2650,,,81.8,18.2,77.0,6.9,16.1,45.8,27.7,26.5
Vaduz,Dungannon Swifts,4903,5097,2593,2788,4619,2658,2701,4641,,,49.0,51.0,25.9,27.9,46.2,26.6,27.0,46.4
Silkeborg,KA,4965,5035,2688,2693,4619,2614,2691,4695,,,49.6,50.3,26.9,26.9,46.2,26.1,26.9,46.9
Rosenborg,Banga,5023,4977,2612,2752,4636,2774,2581,4645,,,50.2,49.8,26.1,27.5,46.4,27.7,25.8,46.4
Austria Wien,Spaeri,4937,5063,2674,2679,4647,2596,2702,4702,,,49.4,50.6,26.7,26.8,46.5,26.0,27.0,47.0
Rakow,Zilina,5065,4935,2681,2693,4626,2766,2567,4667,,,50.6,49.4,26.8,26.9,46.3,27.7,25.7,46.7
Ararat Yerevan,Universitatea Cluj,2485,7515,3684,3644,2672,845,7334,1821,,,24.8,75.1,36.8,36.4,26.7,8.5,73.3,18.2
Varazdin,Santa Clara,2717,7283,3800,3552,2648,900,7146,1954,,,27.2,72.8,38.0,35.5,26.5,9.0,71.5,19.5
Hammarby,Charleroi,4972,5028,5475,2084,2441,2026,5564,2410,,,49.7,50.3,54.8,20.8,24.4,20.3,55.6,24.1
Novi Pazar,Jagiellonia Białystok,1332,8668,2182,5327,2491,578,7849,1573,,,13.3,86.7,21.8,53.3,24.9,5.8,78.5,15.7
HB Torshavn,Brondby,460,9540,743,7496,1761,385,8541,1074,,,4.6,95.4,7.4,75.0,17.6,3.8,85.4,10.7
Sarajevo,Craiova,2199,7801,3280,4080,2640,786,7424,1790,,,22.0,78.0,32.8,40.8,26.4,7.9,74.2,17.9
Aris Limmasol,Puskas Akademia,5027,4973,2685,2660,4655,2731,2670,4599,,,50.3,49.7,26.8,26.6,46.6,27.3,26.7,46.0
Zira,Hajduk,2884,7116,3923,3390,2687,979,7044,1977,,,28.8,71.2,39.2,33.9,26.9,9.8,70.4,19.8
Astana,Zimbru,7934,2066,7535,724,1741,4279,3002,2719,,,79.3,20.7,75.4,7.2,17.4,42.8,30.0,27.2
Araz-Naxçıvan PFK,Aris,4971,5029,2625,2655,4720,2667,2661,4672,,,49.7,50.3,26.2,26.6,47.2,26.7,26.6,46.7
Cherno More,Başakşehir,3183,6817,4128,3193,2679,1126,6774,2100,,,31.8,68.2,41.3,31.9,26.8,11.3,67.7,21.0
